Intersection,Borough,score
S/B RIVERSIDE DR @ ST. CLAIRE PLACE,Manhattan,1.0
WEST 121 STREET,Manhattan,1.0
WHITESTONE EXPRESSWAY SR E,Queens,1.0
HUNTERS PT BR,Queens,1.0
EAST 235 STREET,Bronx,1.0
4 AVENUE,Brooklyn,1.0
AUDUBON AVENUE,Manhattan,1.0
E 120TH ST BET 5TH AVE & MADISON AVE,Manhattan,1.0
WEST 135TH ST EB APPROACH TO FR. DOUGLASS BLVD,Manhattan,1.0
E 233RD ST BET CARPENTER AVE & WHITE PLAINS RD,Bronx,1.0
NEPTUNE AVE BET W 15TH & 16TH STS,Brooklyn,1.0
AVE V-EB APPROACHING BRAGG ST,Brooklyn,1.0
MC GUINNESS BOULEVARD,Brooklyn,1.0
GRAND CENTRAL PARKWAY ET 45 WB,Queens,1.0
BRONXDALE AVENUE,Bronx,1.0
EAST 220 STREET,Bronx,1.0
AVENUE S,Brooklyn,1.0
63rd AVE BET QUEENS BLVD & SAUNDERS ST,Queens,1.0
S/B 63 AVE @ SAUNDERS ST,Queens,1.0
WEST 155 STREET,Manhattan,1.0
AVENUE M,Brooklyn,1.0
EAST 234 STREET,Bronx,1.0
BELT PKWY EB EN PENNSYLVANIA AVE,Brooklyn,1.0
STILLWELL AVENUE BRIDGE,Brooklyn,1.0
E/B AVE N @ E 54 ST,Brooklyn,1.0
BELT PKWY WB EN FLATBUSH AVE SB,Brooklyn,1.0
LACONIA AVENUE,Bronx,1.0
EMMONS AVENUE,Brooklyn,1.0
FOSTER AVENUE,Brooklyn,1.0
AVENUE P,Brooklyn,1.0
N/B FORT WASHINGTON AVE @ W 178TH ST,Manhattan,1.0
CROSS ISLAND PARKWAY SR NORTH,Queens,1.0
BEACH CHANNEL DR APPROACH TO 136TH ST,Queens,1.0
W/B FOSTER AVE @ E 8 ST,Brooklyn,1.0
E/B FOSTER AVE @ E 10 ST,Brooklyn,1.0
CONEY ISL AVE &CHURCH AVE BET E8TH & CONEY ISL AVE,Brooklyn,1.0
CONEY ISL AVE & CATON AVE BET E8TH & CONEY ISL AVE,Brooklyn,1.0
THROOP AVENUE,Brooklyn,1.0
EAST 52 STREET,Brooklyn,1.0
S/B EAST 79 ST @ FARRAGUT RD,Brooklyn,1.0
BEACH CHANNEL DR APPROACH TO 129TH ST,Queens,1.0
DORCHESTER ROAD,Brooklyn,1.0
CROSS BRONX EXPRESSWAY SR NORTH,Bronx,1.0
18 STREET,Brooklyn,1.0
BRONX PARK SOUTH,Bronx,1.0
EAST 179 STREET,Bronx,1.0
N/B BX RIVER PWY EXT RAMP@ALLERTON AVE,Bronx,1.0
COLUMBIA ST BET AMITY & CONGRESS STS,Brooklyn,1.0
UNIVERSITY AVENUE,Bronx,1.0
WASHINGTON BR EN CROSS BX EXPWY,Bronx,1.0
SB BROADWAY APPR TO W 230 th ST,Bronx,1.0
S/B GEORGE ST @ SENECA AVE,Queens,1.0
S/B BROADWAY @ W 179 TH ST,Manhattan,1.0
PIERREPONT STREET,Brooklyn,1.0
PROSPECT PARK SW APPROACHING VANDERBILT ST,Brooklyn,1.0
BELT PARKWAY SB ENTRANCE 181 ST,Queens,1.0
KEW FOREST LANE,Queens,1.0
CONEY ISL AVE &CHURCH AVE BET TURNER PL &CHURCH AVE,Brooklyn,1.0
E/B ROCKAWAY BEACH BLVD @ B 102 ST,Queens,1.0
S/B GRAND CONCORS (S/R)@VAN CORTLANDT AV,Bronx,1.0
E/B MASPETH AVE @ KINGSLAND AVE,Brooklyn,1.0
KESSEL ST,Queens,1.0
BROADWAY BET W 252ND ST & LAKEVIEW PL,Bronx,1.0
PROSPECT PARK ENT FROM OCEAN AVE,Brooklyn,1.0
METROPOLITAN AVENUE BRG,Brooklyn,1.0
107 STREET,Queens,1.0
BRIGHTON BEACH AVENUE,Brooklyn,1.0
PARKSIDE AVE WB DEPARTURE FROM OCEAN AVE,Brooklyn,1.0
ROCKAWAY FREEWAY,Queens,1.0
EAST LAKE DRIVE,Brooklyn,1.0
TERRACE DRIVE,Manhattan,1.0
26 AV,Brooklyn,1.0
GLEN ST,Staten Island,1.0
