Intersection,Borough,score
PITKIN AVENUE,Brooklyn,3.0
SKILLMAN AV,Brooklyn,3.0
E 3 ST,Brooklyn,3.0
LINCOLN PL,Brooklyn,3.0
East 19 Street,Brooklyn,3.0
Argyle Road,Brooklyn,3.0
AUDUBON AV,Manhattan,3.0
71 ST,Queens,3.0
East 46 Street,Manhattan,3.0
Gates Avenue,Brooklyn,3.0
E 59 ST,Manhattan,3.0
BRUCKNER BLVD,Queens,3.0
55 ST,Brooklyn,3.0
43 Street,Queens,3.0
Stewart Avenue,Brooklyn,3.0
VARICK AV,Brooklyn,3.0
EVERGREEN AV,Brooklyn,3.0
63 AV,Queens,3.0
Bond Street,Brooklyn,3.0
EAST 138 STREET,Bronx,3.0
NOSTRAND AV,Brooklyn,3.0
FOREST AVENUE,Queens,3.0
W FARMS RD,Bronx,3.0
81 ST,Brooklyn,3.0
PROSPECT AV,Brooklyn,3.0
STILLWELL AVENUE,Brooklyn,3.0
W 60 ST,Manhattan,3.0
E 2 ST,Brooklyn,3.0
Bedford Avenue,Brooklyn,3.0
HENRY HUDSON PKWY,Manhattan,3.0
82 ST,Brooklyn,3.0
Brook Avenue,Bronx,3.0
W 96 ST,Manhattan,3.0
95 ST,Queens,3.0
Albemarle Road,Brooklyn,3.0
MACE AV,Bronx,3.0
East 164 Street,Bronx,3.0
CENTER DR/16 ST,Brooklyn,3.0
DEISIUS ST,Staten Island,3.0
64 Street,Brooklyn,2.0
W 136 ST,Manhattan,2.0
147 Street,Queens,2.0
100 Street,Queens,2.0
Wall St and Schuyler St,Staten Island,2.0
E 45 ST,Brooklyn,2.0
Vandervoort Avenue,Brooklyn,2.0
E 35 ST,Brooklyn,2.0
W 77 ST,Manhattan,2.0
GREENE AVENUE,Brooklyn,2.0
MANHATTAN AVENUE,Manhattan,2.0
DE KALB AVENUE,Brooklyn,2.0
BROADWAY APPROACHING W 174TH ST,Manhattan,2.0
W 181 ST,Manhattan,2.0
W 124 ST,Manhattan,2.0
SHORE FRONT PARKWAY,Queens,2.0
WHITESTONE EXPRESSWAY SR E,Queens,2.0
MILL BASIN BR,Brooklyn,2.0
JACKIE ROBINSON PKWY,Queens,2.0
JACKIE ROBINSON PY,Brooklyn,2.0
W 120 ST,Manhattan,2.0
ANTHONY STREET,Brooklyn,2.0
EAST GUN HILL ROAD,Bronx,2.0
MC GUINNESS BOULEVARD,Brooklyn,2.0
THOMSON AVENUE,Queens,2.0
BRONXDALE AVENUE,Bronx,2.0
E 102 ST,Brooklyn,2.0
WEST 12 STREET,Brooklyn,2.0
EAST 24 STREET,Brooklyn,2.0
GRAND ST BR,Brooklyn,2.0
EASTERN PARKWAY,Brooklyn,2.0
MC GUINNESS BLVD SOUTH,Brooklyn,2.0
80 ST,Queens,2.0
HOPKINSON AV,Brooklyn,2.0
