Intersection,Borough,score
SEDGWICK AVENUE,Bronx,20085.008673138465
E 37 ST,Brooklyn,20075.23412698415
CYPRESS AV,Queens,20067.51206728255
10 Avenue,Manhattan,19991.11339492041
56 AV,Queens,19820.0
RIKERS IS BR,Queens,19673.365560907172
W 95 ST,Manhattan,19635.423036587854
47 AV,Queens,19628.0
BRADDOCK AVENUE,Queens,19477.298117513183
OCEAN AVENUE,Brooklyn,19393.043049271226
ADAM C POWELL BOULEVARD,Manhattan,19360.952295618674
ADAMS STREET,Brooklyn,19297.44549486308
FT HAMILTON PKWY,Brooklyn,19259.087581699354
W 56 ST,Manhattan,19199.596300846304
Amtrak-hellgate Line,Bronx,19146.769248077995
RANDALL AVENUE,Bronx,19124.613748381664
75 AVENUE,Queens,18957.35218401307
HANCOCK STREET,Brooklyn,18911.340673328494
Knickerbocker Avenue,Brooklyn,18784.340673328494
44 Street,Queens,18703.63698008476
MALCOLM X BOULEVARD,Brooklyn,18622.629889718726
37 ST,Queens,18581.86256183092
SKILLMAN AVENUE,Queens,18576.63698008464
AUSTIN STREET,Queens,18554.340655234544
CATON AV,Brooklyn,18529.499999999996
E/B AVE V @ E 4 ST,Brooklyn,18445.0
W/B UNIONPORT BRIDGE @ ZEREGA AVE,Bronx,18339.423076923074
Cypress Avenue,Brooklyn,18164.681205159228
68 ST,Brooklyn,18125.30435748462
WBB W/B NORTH OUTER ROADWAY,Manhattan,18124.92771386369
SURF AVENUE,Brooklyn,18077.91688139911
19 STREET,Queens,18075.463818154403
COLONIAL RD,Brooklyn,17998.30435748462
77 ST,Brooklyn,17927.739177489206
Park Avenue,Bronx,17900.152022320235
BAYCHESTER AV,Bronx,17734.0
SHORE PKWY,Brooklyn,17480.0
E 7 ST,Brooklyn,17470.0
HHP SB EN W 79 ST,Manhattan,17463.999999999996
79 Street,Queens,17412.069886809706
RIVERSIDE DR,Manhattan,17372.58417019005
AV R,Brooklyn,17343.0
MEEKER AVENUE,Brooklyn,17038.416207196562
EAST 174 ST BRIDGE,Bronx,16920.86483674142
CARROLL ST,Brooklyn,16831.05187005187
Cross Bronx Expressway,Bronx,16829.613748381646
NORTH CONDUIT AVENUE,Brooklyn,16791.034290735766
JJ BYRNE MEMORIAL BRIDGE,Queens,16688.35474760086
Grand Concourse,Bronx,16612.305994185554
EAST 72 STREET,Manhattan,16507.27981509269
E 87 ST,Manhattan,16497.69681398
BEDFORD PARK BOULEVARD,Bronx,16485.305994185554
45 AVENUE,Queens,16401.5
PARK AVENUE,Brooklyn,16347.085918720899
Avenue T,Brooklyn,16312.693026581275
W/B ALEXANDER HAMILTON BR S/S 2 LANES,Manhattan,16293.648848093544
RICHMOND AV,Staten Island,16203.0
RUTLAND RD,Brooklyn,16194.0
West 9 Street,Brooklyn,16184.29532967033
E/B 23 AVE @ 38 ST,Queens,16183.999999999998
W/B 78 ST @ 11 AVE,Brooklyn,16174.952310924371
N/B 108 ST @ 62 DR,Queens,16170.0
BOERUM STREET,Brooklyn,16169.0
12 AV,Brooklyn,16047.952310924371
E/B GATES AVE @ CLASSON AVE,Brooklyn,16017.754564096718
E/B FULTON ST @ CLASSON AVE,Brooklyn,16017.754564096718
HUTCHINSON RIVER PKWY,Bronx,15967.123214285715
ASTORIA BOULEVARD,Queens,15939.16688139913
W/B 70 ST @ 12 AVE,Brooklyn,15920.952310924371
21 ST,Queens,15902.412314507192
SUTPHIN BLVD,Queens,15895.779525691698
W/B MYRTLE AVE @ 76 ST,Queens,15865.180205350745
13 AV,Brooklyn,15793.952310924371
113 ST,Queens,15767.0
STORY AV,Bronx,15747.771789993983
President Street,Brooklyn,15696.24188855215
E/B 73 ST @ 14 AVE,Brooklyn,15666.952310924371
Atlantic Avenue,Queens,15637.415526850513
9 Avenue,Manhattan,15618.966709633045
WEST 212 STREET,Manhattan,15604.303871110787
CLASSON AVENUE,Brooklyn,15569.24188855215
VARICK ST,Manhattan,15482.0
MILL BASIN BR,Brooklyn,15476.681111111111
HENRY STREET,Brooklyn,15446.795329670329
HUMBOLDT ST,Brooklyn,15407.683516483521
W 72 ST,Manhattan,15345.764346764345
HENRY HUDSON PKWY,Manhattan,15316.999999999998
Union Street,Brooklyn,15308.29532967033
FLATLANDS AV,Brooklyn,15298.999999999998
EASTCHESTER BR,Bronx,15273.999999999998
East 47 Street,Manhattan,15170.437277360556
West 219 Street,Manhattan,15088.354589227207
COOPER AVENUE,Queens,15078.980343749834
WEST 72 STREET,Manhattan,15077.519383807214
SPRING STREET,Manhattan,15039.155854139786
Bronx River Shoreline,Bronx,14998.643523619363
BARTOW AVE EAST OF BAYCHESTER AVE,Bronx,14972.999999999998
VERNON BOULEVARD,Queens,14961.299509481678
EAST 169 STREET,Bronx,14871.65971076609
EMPIRE BLVD EB APPROACH TO WASHINGTON AVE,Brooklyn,14804.8867867868
West 120 Street,Manhattan,14758.952295618728
BROOKLYN QUEENS EP ET 32 B WB,Brooklyn,14747.716131907324
E/B W 178TH ST@ AMSTERDAM AVE & AUDUBON AVE,Manhattan,14688.45504459041
W/B W 179TH ST @ AUDUBON AVE,Manhattan,14688.45504459041
185TH ST BET AMSTERDAM & AUDUBON AVES,Manhattan,14688.45504459041
DE KALB AV,Queens,14687.676651738337
8 Avenue,Brooklyn,14655.706776459536
E/B 97 AVE @ ROCKAWAY BLVD,Queens,14540.098220957612
Glenwood Place,Staten Island,14534.827975043318
AV D,Brooklyn,14503.734126984085
WESTMINSTER RD,Brooklyn,14483.333333333334
149 Street,Queens,14345.5
108 STREET,Queens,14315.13530714724
N/B MADISON AVE @ E 24TH ST,Manhattan,14281.725104925918
W 157 ST,Manhattan,14281.211904761896
WEST 135TH ST EB APPROACH TO AMSTERDAM,Manhattan,14281.211904761896
WASHINGTON AV,Brooklyn,14262.283333333346
VERNON BLVD,Queens,14204.599999999999
47 AVENUE,Queens,14062.0
N/B NEW ENGLAND THRUWAY @ CITY LINE,Bronx,14023.565335908188
S/B NEW ENGLAND THRUWAY @ CITY LINE,Bronx,14023.565335908188
East 58 Street,Brooklyn,13929.919182099753
BAY RIDGE PKWY,Brooklyn,13890.0
ALLERTON AVENUE,Bronx,13888.5
E 73 ST,Manhattan,13878.152620996912
38 ST,Queens,13877.999999999998
63 AV,Queens,13871.0
Humboldt Street,Brooklyn,13864.0
103 AVENUE,Queens,13862.916901908447
ST MARKS AV,Brooklyn,13860.0
86 AVENUE,Queens,13857.0
BROADWAY EB APPROACH TO 69TH ST,Queens,13840.740851269422
WEST 176 STREET,Manhattan,13839.0
W 172 ST,Manhattan,13833.0
HOMECREST AVENUE,Brooklyn,13832.886208399432
WEST 29 STREET,Manhattan,13830.5
BARTOW AVENUE,Bronx,13728.916881399113
Audubon Avenue,Manhattan,13712.0
BROADWAY S/O W 173rd ST,Manhattan,13706.0
7 Avenue,Manhattan,13703.5
HAMILTON AVENUE BRIDGE,Brooklyn,13595.916881399116
BARTOW AV,Bronx,13580.999999999998
W 173 ST,Manhattan,13579.0
E/B 60 ST( E/LEG) @ 5TH AVE,Brooklyn,13489.578175430168
4th AVE & 86th ST,Brooklyn,13489.578175430168
UNION ST APPROACHING 4TH AVE,Brooklyn,13489.578175430168
STILLWELL AVENUE,Brooklyn,13445.185794393024
CANAL ST,Manhattan,13412.5
Sackett Street,Brooklyn,13390.79532967033
MAIN STREET,Queens,13354.173660197688
CONWAY STREET,Brooklyn,13266.63598998051
BEDFORD AVENUE,Brooklyn,13209.0
WEST 145 STREET,Manhattan,13209.0
ROCKAWAY PARKWAY,Brooklyn,13208.42674428183
Driggs Avenue,Brooklyn,13151.0
56 ST,Queens,13141.0
S/B VERNON BLVD @ 47 RD,Queens,13083.0
W 174 ST,Manhattan,13069.999999999996
Avenue M,Brooklyn,13060.255126238631
WEST 219 STREET,Manhattan,13051.966709633045
Crown Street,Brooklyn,13031.712171276913
Crosby Street,Manhattan,12983.155854139788
COLUMBUS AV,Manhattan,12895.271538504356
86 Street,Brooklyn,12859.149063300181
LEXINGTON AV,Manhattan,12782.400573354396
E 54 ST,Brooklyn,12767.358159353917
SUTTER AVENUE,Queens,12581.36012426736
AVENUE B,Brooklyn,12550.761904761901
RICHMOND AVENUE,Staten Island,12493.920311648295
W/B HEMSTEAD AVE @ CITY LINE,Queens,12420.716545278123
W/B ENT.RAMP TO HEMPSTEAD AV@CITY LINE,Queens,12420.716545278123
Jackson Avenue,Bronx,12376.387040673084
East Tremont Avenue,Bronx,12282.963147436043
E 163 ST,Bronx,12186.072569506874
E/B 47 RD @ VERNON BLVD,Queens,12159.6
KEW GDNS RD,Queens,12154.595436344687
WEST 167 STREET,Bronx,12103.180883736148
S/B 2ND AVE (ONLY THROUGH LANE) @E 23 ST,Manhattan,12078.655457287812
S/B 2ND AVE (THROUGH) @ E 23 ST,Manhattan,12078.655457287812
80 RD,Queens,12027.595436344693
N/B CHEVY CHASE ST @ UNION TURNPIKE,Queens,11900.595436344687
LORIMER ST,Brooklyn,11850.0
EAST 106 STREET,Manhattan,11804.22340900528
ROOSEVELT ISLAND BR,Queens,11767.599999999999
COLGATE AV,Queens,11722.623076923077
IRVING AV,Brooklyn,11722.024175824177
FOUNTAIN AV,Brooklyn,11632.739177489213
COLLEGE POINT BOULEVARD,Queens,11608.305266955305
W/B 111 AVE @ 130 ST,Queens,11594.9599140473
GRAND AV,Queens,11588.0
East 87 Street,Brooklyn,11583.761904761903
